T,F,B,Eta,-x,+x
1.000, 2.550, 2.000,  1.000, 0.015, 0.985
1.000, 2.600, 2.000,  1.000, 0.014, 0.986
1.000, 2.650, 2.000,  1.000, 0.013, 0.987
1.000, 2.700, 2.000,  1.000, 0.012, 0.988
1.000, 2.750, 2.000,  1.000, 0.011, 0.989
1.000, 2.800, 2.000,  1.000, 0.010, 0.990
1.000, 2.850, 2.000,  1.000, 0.009, 0.991
1.000, 2.900, 2.000,  1.000, 0.008, 0.992
1.000, 2.950, 2.000,  1.000, 0.008, 0.992
1.000, 3.000, 2.000,  1.000, 0.007, 0.993
1.000, 3.050, 2.000,  1.000, 0.006, 0.994
1.000, 3.100, 2.000,  1.000, 0.006, 0.994
1.000, 3.150, 2.000,  1.000, 0.005, 0.995
1.000, 3.200, 2.000,  1.000, 0.005, 0.995
1.000, 3.250, 2.000,  1.000, 0.004, 0.996
1.000, 3.300, 2.000,  1.000, 0.004, 0.996
1.000, 3.350, 2.000,  1.000, 0.004, 0.996
1.000, 3.400, 2.000,  1.000, 0.003, 0.997
1.000, 3.450, 2.000,  1.000, 0.003, 0.997
1.000, 3.500, 2.000,  1.000, 0.003, 0.997
1.000, 3.550, 2.000,  1.000, 0.003, 0.997
1.000, 3.600, 2.000,  1.000, 0.002, 0.998
1.000, 3.650, 2.000,  1.000, 0.002, 0.998
1.000, 3.700, 2.000,  1.000, 0.002, 0.998
1.000, 3.750, 2.000,  1.000, 0.002, 0.998
1.000, 3.800, 2.000,  1.000, 0.002, 0.998
1.000, 3.850, 2.000,  1.000, 0.002, 0.998
1.000, 3.900, 2.000,  1.000, 0.002, 0.998
1.000, 3.950, 2.000,  1.000, 0.001, 0.999
1.000, 4.000, 2.000,  1.000, 0.001, 0.999
1.000, 4.050, 2.000,  1.000, 0.001, 0.999
1.000, 4.100, 2.000,  1.000, 0.001, 0.999
1.000, 4.150, 2.000,  1.000, 0.001, 0.999
1.000, 4.200, 2.000,  1.000, 0.001, 0.999
1.000, 4.250, 2.000,  1.000, 0.001, 0.999
1.000, 4.300, 2.000,  1.000, 0.001, 0.999
1.000, 4.350, 2.000,  1.000, 0.001, 0.999
1.000, 4.400, 2.000,  1.000, 0.001, 0.999
1.000, 4.450, 2.000,  1.000, 0.001, 0.999
1.000, 4.500, 2.000,  1.000, 0.001, 0.999
1.000, 4.550, 2.000,  1.000, 0.001, 0.999
1.000, 4.600, 2.000,  1.000, 0.000, 1.000
1.000, 4.650, 2.000,  1.000, 0.000, 1.000
1.000, 4.700, 2.000,  1.000, 0.000, 1.000
1.000, 4.750, 2.000,  1.000, 0.000, 1.000
1.000, 4.800, 2.000,  1.000, 0.000, 1.000
1.000, 4.850, 2.000,  1.000, 0.000, 1.000
1.000, 4.900, 2.000,  1.000, 0.000, 1.000
1.000, 4.950, 2.000,  1.000, 0.000, 1.000
1.000, 5.000, 2.000,  1.000, 0.000, 1.000
