
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,Ree
17, 1.35, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 6.60

17, 1.40, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 6.75

17, 1.45, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 6.91

17, 1.50, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 7.07

17, 1.55, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 7.31

17, 1.60, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 7.40

17, 1.65, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 7.63

17, 1.70, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 7.77

17, 1.75, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 7.93

17, 1.80, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 8.13

17, 1.85, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 8.24

17, 1.90, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 8.47

17, 1.95, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 8.56

17, 2.00, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 8.68

17, 2.05, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 8.83

17, 2.10, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 8.95

17, 2.15, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 9.12

17, 2.20, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 9.21

17, 2.25, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 9.33

17, 2.30, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 9.48

17, 2.35, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 9.59

17, 2.40, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 9.70

17, 2.45, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 9.83

17, 2.50, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 9.96

17, 2.55, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 10.06

17, 2.60, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 10.19

17, 2.65, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 10.25

17, 2.70, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 10.36

17, 2.75, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 10.44

17, 2.80, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 10.56

17, 2.85, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 10.65

17, 2.90, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 10.72

17, 2.95, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 10.84

17, 3.00, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 10.92

17, 3.05, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 11.00

17, 3.10, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 11.05

17, 3.15, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 11.12

17, 3.20, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 11.22

17, 3.25, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 11.28

17, 3.30, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 11.34

17, 3.35, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 11.39

17, 3.40, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 11.46

17, 3.45, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 11.52

17, 3.50, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 11.58

17, 3.55, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 11.64

17, 3.60, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 11.68

17, 3.65, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 11.73

17, 3.70, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 11.78

17, 3.75, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 11.84

17, 3.80, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 11.88

17, 3.85, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 11.92

17, 3.90, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 11.93

17, 3.95, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 11.99

17, 4.00, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 12.03

17, 4.05, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 12.08

17, 4.10, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 12.11

17, 4.15, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 12.14

17, 4.20, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 12.15

17, 4.25, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 12.20

17, 4.30, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 12.24

17, 4.35, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 12.25

17, 4.40, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 12.29

17, 4.45, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 12.32

17, 4.50, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 12.34

17, 4.55, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 12.37

17, 4.60, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 12.41

17, 4.65, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 12.44

17, 4.70, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 12.45

17, 4.75, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 12.47

17, 4.80, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 12.51

17, 4.85, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 12.52

17, 4.90, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 12.56

17, 4.95, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 12.60

17, 5.00, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 12.60

17, -5.00, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -12.57

17, -4.90, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -12.51

17, -4.80, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -12.45
