
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,Ree,Ree_best,err,err1
17, 4.00, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 12.79, 12.15, 1.46, 1.07

17, 4.20, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 13.00, 12.33, 1.36, 1.02

17, 4.40, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 13.17, 12.46, 0.65, 0.99

17, 4.60, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 13.38, 12.64, 1.27, 0.99

17, 4.80, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 13.54, 12.77, 0.14, 0.94

17, 5.00, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 13.76, 12.96, 0.05, 0.87

17, 5.20, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 13.88, 13.05, 0.20, 0.87

17, 5.40, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 14.06, 13.19, 0.00, 0.83

17, 5.60, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 14.18, 13.29, 0.12, 0.84

17, 5.80, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 14.32, 13.39, 0.03, 0.81

17, 6.00, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 14.45, 13.49, 0.28, 0.77

17, 6.20, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 14.57, 13.58, 0.24, 0.79

17, 6.40, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 14.68, 13.65, 0.21, 0.75

17, 6.60, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 14.79, 13.73, 0.00, 0.74

17, 6.80, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 14.88, 13.80, 0.04, 0.70

17, 7.00, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 14.98, 13.86, 0.11, 0.69

17, 7.20, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 15.08, 13.93, 0.14, 0.67

17, 7.40, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 15.16, 13.98, 0.23, 0.67

17, 7.60, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 15.26, 14.04, 0.24, 0.66

17, 7.80, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 15.35, 14.10, 0.32, 0.64

17, 8.00, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 15.43, 14.15, 0.25, 0.64

17, 8.20, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 15.51, 14.20, 0.20, 0.63

17, 8.40, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 15.58, 14.24, 0.11, 0.63

17, 8.60, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 15.66, 14.28, 0.02, 0.62

17, 8.80, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 15.73, 14.32, 0.05, 0.62

17, 9.00, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 15.80, 14.36, 0.05, 0.61

17, 9.20, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 15.87, 14.40, 0.06, 0.60

17, 9.40, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 15.94, 14.44, 0.11, 0.59

17, 9.60, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 16.01, 14.47, 0.16, 0.59

17, 9.80, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 16.07, 14.50, 0.20, 0.58

17, 10.00, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 16.14, 14.54, 0.24, 0.57
