
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,R_G,Ree,Cinetica,Potencial
64, 0.75, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.72, 67.02, 0.2926, 1.7214

64, 0.80, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.66, 66.67, 0.2926, 1.7088

64, 0.85, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.62, 66.36, 0.2926, 1.6967

64, 0.90, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.61, 66.04, 0.2926, 1.6844

64, 0.95, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.59, 65.67, 0.2926, 1.6725

64, 1.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.57, 65.26, 0.2926, 1.6602

64, 1.05, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.55, 64.87, 0.2926, 1.6469

64, 1.10, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.53, 64.52, 0.2926, 1.6337

64, 1.15, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.51, 64.23, 0.2926, 1.6205

64, 1.20, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.49, 63.94, 0.2925, 1.6074

64, 1.25, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.49, 63.57, 0.2925, 1.5947

64, 1.30, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.48, 63.20, 0.2925, 1.5819

64, 1.35, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.46, 62.79, 0.2925, 1.5692

64, 1.40, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.45, 62.41, 0.2925, 1.5566

64, 1.45, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.44, 62.12, 0.2925, 1.5439

64, 1.50, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.44, 61.83, 0.2924, 1.5313

64, 1.55, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.44, 61.46, 0.2924, 1.5189

64, 1.60, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.44, 60.97, 0.2924, 1.5066

64, 1.65, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.44, 60.57, 0.2925, 1.4944

64, 1.70, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.44, 60.29, 0.2924, 1.4822

64, 1.75, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.44, 60.06, 0.2924, 1.4700

64, 1.80, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.44, 59.76, 0.2924, 1.4580

64, 1.85, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.44, 59.38, 0.2923, 1.4460

64, 1.90, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.44, 58.87, 0.2923, 1.4342

64, 1.95, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.44, 58.47, 0.2923, 1.4226

64, 2.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.44, 58.17, 0.2922, 1.4109

64, 2.05, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.44, 57.92, 0.2922, 1.3994

64, 2.10, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.44, 57.62, 0.2922, 1.3878

64, 2.15, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 267.92, 57.23, 0.2922, 1.3762

64, 2.20, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 262.74, 56.74, 0.2922, 1.3648

64, 2.25, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 258.28, 56.37, 0.2922, 1.3536

64, 2.30, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 254.90, 56.04, 0.2922, 1.3424

64, 2.35, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 252.26, 55.73, 0.2921, 1.3311

64, 2.40, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 249.97, 55.40, 0.2921, 1.3200

64, 2.45, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 247.56, 55.02, 0.2921, 1.3090

64, 2.50, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 244.80, 54.62, 0.2921, 1.2981

64, 2.55, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 241.79, 54.23, 0.2922, 1.2874

64, 2.60, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 239.38, 53.86, 0.2922, 1.2766

64, 2.65, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 237.64, 53.50, 0.2921, 1.2659

64, 2.70, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 236.23, 53.14, 0.2921, 1.2554

64, 2.75, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 234.92, 52.84, 0.2921, 1.2450

64, 2.80, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 233.49, 52.52, 0.2921, 1.2347

64, 2.85, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 231.65, 52.16, 0.2921, 1.2245

